,name,club,rank,category,points,id,link
506,קונסטנטין שצ'וקין,הפועל בת ים,507,S40,553.1,6670,/p/6670/קונסטנטין-שצ-וקין
507,יהלי וולטר,מכבי שהם,508,C15,552.2,4128,/p/4128/יהלי-וולטר
508,יובל הדס,טנ''ש 2007 נתניה,509,S50,551.8,8381,/p/8381/יובל-הדס
509,ליאם זהבי,הפועל לוד,510,M12,550.7,5811,/p/5811/ליאם-זהבי
510,לאוניד גילובוי,טנ''ש נס ציונה,511,S50,549.0,1365,/p/1365/לאוניד-גילובוי
511,מאיר פריבס,הפועל באר טוביה,512,S50,547.5,939,/p/939/מאיר-פריבס
512,אשד צפריר,הפועל אשדוד,513,S50,544.6,2025,/p/2025/אשד-צפריר
513,ניר חוכימה,"מ. טנ""ש ויקטור נתניה",514,S40,543.5,1662,/p/1662/ניר-חוכימה
514,יעקב חן,הפועל חיפה,515,S70,543.5,1565,/p/1565/יעקב-חן
515,נדב שוורץ,הפועל לוד,516,E20,542.5,1957,/p/1957/נדב-שוורץ
516,ליאוניד ג'מפלסון,הפועל מבואות חרמון,517,S60,542.5,5725,/p/5725/ליאוניד-ג-מפלסון
517,קיריל רודובסקי,"מ. טנ""ש ויקטור נתניה",518,S,540.4,7137,/p/7137/קיריל-רודובסקי
518,יאיר שניידר,הפועל רמת ישי,519,C14,538.1,5612,/p/5612/יאיר-שניידר
519,ולדימיר מלינובסקי,הפועל לוד,520,S40,538.0,2068,/p/2068/ולדימיר-מלינובסקי
520,אמנון מלמד,עירוני טנ''ש ראש העין,521,S50,537.2,1688,/p/1688/אמנון-מלמד
521,אלכס ארונוב,מכבי זאב זכרון יעקב,522,S40,536.6,5653,/p/5653/אלכס-ארונוב
522,אמיר מטרי,מועדון ספורט מעלה אדומים,523,S40,535.6,3389,/p/3389/אמיר-מטרי
523,יוסף מנדלמן,אליצור קריית אתא,524,S70,534.7,1016,/p/1016/יוסף-מנדלמן
524,ארז יקואל,מכבי רחובות,525,S50,533.4,7197,/p/7197/ארז-יקואל
525,אנדריי רובינשטיין,הפועל טנ''ש באר שבע,526,S60,532.8,1002,/p/1002/אנדריי-רובינשטיין
526,ויקטור סבדיאן,בית''ר ראשון לציון,527,S,530.5,8095,/p/8095/ויקטור-סבדיאן
527,שלומי פרנק,מכבי רחובות,528,S50,529.5,953,/p/953/שלומי-פרנק
528,רומן רייטיך,הישגי כרמיאל,529,S40,529.2,4319,/p/4319/רומן-רייטיך
529,חן ליבשבסקי,הפועל טירת הכרמל,530,S,528.9,3636,/p/3636/חן-ליבשבסקי
530,אברהם עמידן,הפועל טנ''ש באר שבע,531,S60,528.9,4306,/p/4306/אברהם-עמידן
531,אלכסנדר יורצ'נקו,מכבי גבירול באר שבע,532,S40,528.5,4246,/p/4246/אלכסנדר-יורצ-נקו
532,גינדי בייבוק,בית''ר אשדוד,533,S50,527.9,3858,/p/3858/גינדי-בייבוק
533,אלי גורביץ,הפועל טנ''ש באר שבע,534,E20,527.5,668,/p/668/אלי-גורביץ
534,עידו אלטרץ,ללא מועדון,535,J18,525.3,2807,/p/2807/עידו-אלטרץ
535,אלכסנדר ורנברג,הפועל טירת הכרמל,536,S70,523.8,1561,/p/1561/אלכסנדר-ורנברג
536,זאב לחמי,מכבי זאב זכרון יעקב,537,S60,523.4,1717,/p/1717/זאב-לחמי
537,אילן אביבי,הפועל חיפה,538,S60,523.2,397,/p/397/אילן-אביבי
538,אנדרי שינדלר,מ.ק.מתנ''ס קריית גת,539,S40,523.0,2130,/p/2130/אנדרי-שינדלר
539,אלעד מרנבך,הפועל מבואות חרמון,540,S,522.4,4831,/p/4831/אלעד-מרנבך
540,אולג ירובינסקי,מכבי עירוני שדרות,541,S40,521.6,6669,/p/6669/אולג-ירובינסקי
541,יעקב ברזילי,הפועל ירושלים,542,E20,521.2,4538,/p/4538/יעקב-ברזילי
542,אלכס לבובסקי,אופק קריית אונו,543,S50,520.5,7316,/p/7316/אלכס-לבובסקי
543,אמיתי זיו,הפועל האקדמיה לטניס שולחן מטה יהודה,544,J17,520.2,3777,/p/3777/אמיתי-זיו
544,מיכאל סמלסון,בית''ר ראשון לציון,545,S,519.8,7960,/p/7960/מיכאל-סמלסון
545,בוריס יקובובסקי,אליצור קריית אתא,546,S70,519.5,2036,/p/2036/בוריס-יקובובסקי
546,אהרן קרשטיין,מכבי רחובות,547,S,518.6,5759,/p/5759/אהרן-קרשטיין
547,רועי בניימין,כרמל מרכזי טניס שולחן חיפה,548,C14,517.2,3737,/p/3737/רועי-בניימין
548,דוד אלבז,הפועל ירושלים,549,S50,516.6,310,/p/310/דוד-אלבז
549,גל ברלינסקי,הפועל דרום השרון,550,S50,516.3,7070,/p/7070/גל-ברלינסקי
550,גרשון שמונוב,מכבי דימונה,551,S50,514.8,7155,/p/7155/גרשון-שמונוב
551,מיכאל פלדמן,כרמל מרכזי טניס שולחן חיפה,552,S40,514.6,950,/p/950/מיכאל-פלדמן
552,מרק חרקובר,הפועל בת ים,553,S60,514.5,1411,/p/1411/מרק-חרקובר
553,עידו שפירר,כרמל מרכזי טניס שולחן חיפה,554,C14,513.8,5610,/p/5610/עידו-שפירר
554,ברק ברק,הפועל אשקלון,555,S50,513.1,3140,/p/3140/ברק-ברק
555,עידו ששון,כרמל מרכזי טניס שולחן חיפה,556,J16,512.3,6490,/p/6490/עידו-ששון
556,סטניסלב סוקולוב,ללא מועדון,557,J18,512.0,3188,/p/3188/סטניסלב-סוקולוב
557,איליה ליברצוק,עמותת קריית מוצקין,558,S60,511.8,1640,/p/1640/איליה-ליברצוק
558,טל שרף,הפועל רמת ישי,559,S,511.8,3049,/p/3049/טל-שרף
559,טל וולקוביץ,הפועל ארנון רמת גן,560,S40,511.5,1372,/p/1372/טל-וולקוביץ
560,גבור אליאש,הפועל לוד,561,S70,511.1,919,/p/919/גבור-אליאש
561,אלכסנדר ריטבין,בית''ר באר שבע,562,S60,510.5,1330,/p/1330/אלכסנדר-ריטבין
562,סמיון פליפנקו,כרמל מרכזי טניס שולחן חיפה,563,E21,508.9,663,/p/663/סמיון-פליפנקו
563,רוני מרטון,הפועל חיפה,564,S60,508.1,4296,/p/4296/רוני-מרטון
564,אבי שפי,מכבי רמת יצחק רמת גן,565,S60,506.7,988,/p/988/אבי-שפי
565,פיליפ בלדר,טניס שולחן חיפה,566,S40,506.3,3011,/p/3011/פיליפ-בלדר
566,אביעד יצחקי,הפועל ירושלים,567,E19,505.3,7350,/p/7350/אביעד-יצחקי
567,רוני צציק,מכבי ראשל''צ טנ''ש,568,S60,504.1,1757,/p/1757/רוני-צציק
568,אנדריי דולגנוב,מכבי דימונה,569,S40,502.2,6750,/p/6750/אנדריי-דולגנוב
569,אנדריי סלונים,הפועל חיפה,570,S40,500.7,6465,/p/6465/אנדריי-סלונים
570,דימיטרי גורליק,טנ''ש נס ציונה,571,S50,500.6,1111,/p/1111/דימיטרי-גורליק
571,נסים קעדאן,הפועל מתנ''ס בקה אל גרבייה,572,S40,499.4,1497,/p/1497/נסים-קעדאן
572,ששון שמאילוב,הפועל ביחד עברון מזרעה,573,S40,498.9,3870,/p/3870/ששון-שמאילוב
573,לאוניד אייקליס,הפועל חיפה,574,S60,498.3,2815,/p/2815/לאוניד-אייקליס
574,קורן אדר,הפועל רמת ישי,575,C14,497.8,6699,/p/6699/קורן-אדר
575,זאב ליטיצבר,מכבי רחובות,576,S50,496.5,5760,/p/5760/זאב-ליטיצבר
576,אריאל חכם,ללא מועדון,577,S,495.4,7041,/p/7041/אריאל-חכם
577,ויטלי בלנק,הפועל פתח תקווה,578,S40,495.1,5519,/p/5519/ויטלי-בלנק
578,יהונתן ברונשטין,הפועל לוד,579,M13,494.8,5464,/p/5464/יהונתן-ברונשטין
579,נעם פלייסינג,הפועל חולון,580,S50,493.8,1448,/p/1448/נעם-פלייסינג
580,אורי צור,הפועל ירושלים,581,S50,490.7,4528,/p/4528/אורי-צור
581,ליאור אל-על,הפועל ירושלים,582,S50,487.0,3379,/p/3379/ליאור-אל-על
582,ארי ואקיל,מכבי כוכב יאיר - צור יגאל,583,S60,485.7,6727,/p/6727/ארי-ואקיל
583,דמיטרי גלפרין,מכבי גבירול באר שבע,584,S40,484.8,1897,/p/1897/דמיטרי-גלפרין
584,איתי דוכני,בית''ר ראשון לציון,585,C15,484.1,7984,/p/7984/איתי-דוכני
585,איתמר יוסף לב,הפועל מבואות חרמון,586,C15,481.1,5581,/p/5581/איתמר-יוסף-לב
586,עדן נזרי,טניס שולחן חיפה,587,J18,480.2,4562,/p/4562/עדן-נזרי
587,יוסף חיים אריש,"מ. טנ""ש ויקטור נתניה",588,C14,478.5,5523,/p/5523/יוסף-חיים-אריש
588,דורון סולודר,הפועל לוד,589,S40,477.0,1477,/p/1477/דורון-סולודר
589,מיכאל קרייזמן,הפועל ארנון רמת גן,590,S50,476.7,3728,/p/3728/מיכאל-קרייזמן
590,לב אברוסקין,הפועל אילת,591,S50,476.5,2392,/p/2392/לב-אברוסקין
591,רוני טסלר,מכבי זאב זכרון יעקב,592,S,475.6,1249,/p/1249/רוני-טסלר
592,אלון קנטרז'י,טניס שולחן חיפה,593,S40,475.4,6706,/p/6706/אלון-קנטרז-י
593,גדי ברגה,מכבי תל אביב,594,J17,474.2,6763,/p/6763/גדי-ברגה
594,אלכסנדר קוסקובסקי,מכבי דימונה,595,S60,474.2,3693,/p/3693/אלכסנדר-קוסקובסקי
595,רומן בסמרטני,בית''ר חדרה,596,S60,473.7,1315,/p/1315/רומן-בסמרטני
596,ודים שומקוב,מכבי עירוני שדרות,597,S50,472.8,1208,/p/1208/ודים-שומקוב
597,יאיר קורסקוב,הפועל ירושלים,598,J18,472.6,4535,/p/4535/יאיר-קורסקוב
598,ודים לבדב,הפועל בת ים,599,S50,472.0,3647,/p/3647/ודים-לבדב
599,ולדימיר דרביאן,מכבי דימונה,600,S50,471.1,3692,/p/3692/ולדימיר-דרביאן
600,יובל חזן,הפועל חיפה,601,S50,470.3,5321,/p/5321/יובל-חזן
601,מאיר תור,הפועל דרום השרון,602,S70,470.0,1022,/p/1022/מאיר-תור
602,מיכאל רבינוביץ,כרמל מרכזי טניס שולחן חיפה,603,C14,469.8,5611,/p/5611/מיכאל-רבינוביץ
603,יואב יהלום,מכבי מתנ''ס כפר יונה,604,S70,469.4,2098,/p/2098/יואב-יהלום
604,משה גרשון,הפועל ירושלים,605,S,469.1,124,/p/124/משה-גרשון
605,מרדכי דבורקין,הפועל ירושלים,606,S70,468.7,3390,/p/3390/מרדכי-דבורקין
606,משה גלר,עמותת קריית מוצקין,607,S70,468.6,1020,/p/1020/משה-גלר
607,אלכסנדר אפשטיין,הפועל עירוני נוף הגליל,608,S60,468.3,4274,/p/4274/אלכסנדר-אפשטיין
608,לאוניד קלניצקי,אופק קריית אונו,609,S60,468.0,2925,/p/2925/לאוניד-קלניצקי
609,איליה אומנסקי,הפועל יוקנעם,610,S,467.8,5871,/p/5871/איליה-אומנסקי
610,נתן גרמפל,הפועל לוד,611,S50,467.2,4204,/p/4204/נתן-גרמפל
611,מיכאל אסינובסקי,הפועל טנ''ש באר שבע,612,S50,466.6,2803,/p/2803/מיכאל-אסינובסקי
612,שון איכנבאום,הפועל לוד,613,M12,465.9,4814,/p/4814/שון-איכנבאום
613,מיכאל שקולניק,מ.ק.מתנ''ס קריית גת,614,S70,465.1,1554,/p/1554/מיכאל-שקולניק
614,שגיא גלילי,מכבי רחובות,615,S,464.9,1257,/p/1257/שגיא-גלילי
615,איתן בן עטיה,הפועל פתח תקווה,616,C15,463.8,5558,/p/5558/איתן-בן-עטיה
616,יניב שרון,ללא מועדון,617,E19,463.8,110,/p/110/יניב-שרון
617,אלעד עמי,מכבי גדרה,618,S40,463.1,7055,/p/7055/אלעד-עמי
618,נדב למדן,ללא מועדון,619,J18,463.1,2979,/p/2979/נדב-למדן
619,אמיר מרון,עירוני גבעתיים,620,S50,463.0,5752,/p/5752/אמיר-מרון
620,ישראל רחמים,ללא מועדון,621,S50,462.5,1551,/p/1551/ישראל-רחמים
621,ארז צח,הפועל ירושלים,622,S50,462.4,3384,/p/3384/ארז-צח
622,מיכאל גויכמן,הפועל טנ''ש באר שבע,623,S60,460.8,2355,/p/2355/מיכאל-גויכמן
623,אור גרשון,הפועל ירושלים,624,E21,459.3,109,/p/109/אור-גרשון
624,ויטלי וולפין,הפועל אשקלון,625,S,458.7,2283,/p/2283/ויטלי-וולפין
625,דוד מרציאנו,הפועל ירושלים,626,S70,458.0,3382,/p/3382/דוד-מרציאנו
626,אופיר ספקטור,טנ''ש 2007 נתניה,627,S,457.6,786,/p/786/אופיר-ספקטור
627,עילאי דוידוב,מכבי דימונה,628,B10,457.3,6733,/p/6733/עילאי-דוידוב
628,יבגני גובנקו,בית''ר רמלה,629,S40,456.2,1294,/p/1294/יבגני-גובנקו
629,פדרו בלוק,אליצור קריית אתא,630,S70,452.8,1015,/p/1015/פדרו-בלוק
630,אפק אביבי,אופק קריית אונו,631,J18,452.7,6181,/p/6181/אפק-אביבי
631,שמוליק בן עשור,הפועל חיפה,632,S50,452.3,389,/p/389/שמוליק-בן-עשור
632,נבט סימון,ללא מועדון,633,S60,451.1,1686,/p/1686/נבט-סימון
633,גנדי אוקון,כרמל מרכזי טניס שולחן חיפה,634,S50,450.8,2255,/p/2255/גנדי-אוקון
634,עמנואל חן,הפועל עירוני צפת,635,S40,450.4,1982,/p/1982/עמנואל-חן
635,דניאל ברוך,בית''ר באר שבע,636,J16,450.0,5319,/p/5319/דניאל-ברוך
636,בוריס לויט,מועדון ספורט מעלה אדומים,637,S50,449.3,6984,/p/6984/בוריס-לויט
637,איתי אבנר,הפועל ירושלים,638,S,449.1,3422,/p/3422/איתי-אבנר
638,שי וינר,מכבי כוכב יאיר - צור יגאל,639,S40,449.0,6724,/p/6724/שי-וינר
639,אליהו טל,הפועל לוד,640,S60,448.9,4117,/p/4117/אליהו-טל
640,גלעד לביא,טניס שולחן חיפה,641,J18,448.8,6476,/p/6476/גלעד-לביא
641,לאוניד פליישר,טניס שולחן חיפה,642,S40,448.7,1576,/p/1576/לאוניד-פליישר
642,אתגר כהן,הפועל ביחד עברון מזרעה,643,S50,446.1,7383,/p/7383/אתגר-כהן
643,רועי ברוש,מכבי שהם,644,S,445.9,5549,/p/5549/רועי-ברוש
644,לאון איסחק,הפועל באר טוביה,645,S50,444.1,3075,/p/3075/לאון-איסחק
645,יהונתן לוי,מכבי תל אביב,646,C15,442.8,4249,/p/4249/יהונתן-לוי
646,יוסף דרוסקין,הפועל עירוני נוף הגליל,647,S60,441.9,1523,/p/1523/יוסף-דרוסקין
647,שי הדר,הפועל באר טוביה,648,J16,441.5,6053,/p/6053/שי-הדר
648,עמרי אלימלך,עירוני גבעתיים,649,J17,441.1,3814,/p/3814/עמרי-אלימלך
649,נועם עטיה,הפועל רמת ישי,650,M12,440.4,6934,/p/6934/נועם-עטיה
650,איליה אוצנסקי,ללא מועדון,651,S70,439.6,2034,/p/2034/איליה-אוצנסקי
651,אלי זלצר,אליצור קריית אתא,652,S70,436.8,1023,/p/1023/אלי-זלצר
652,אלעד יוזבגי,טניס שולחן חיפה,653,J18,436.1,4123,/p/4123/אלעד-יוזבגי
653,איגור סלבנקו,כרמל מרכזי טניס שולחן חיפה,654,S60,436.0,993,/p/993/איגור-סלבנקו
654,ארז מנחם,מכבי ראשל''צ טנ''ש,655,S,435.4,3113,/p/3113/ארז-מנחם
655,דוד אשרוב,מכבי גדרה,656,S50,434.3,423,/p/423/דוד-אשרוב
656,איתי שרון,בית''ר ראשון לציון,657,C15,433.2,4176,/p/4176/איתי-שרון
657,עומר סרף,טנ''ש 2007 נתניה,658,M13,431.3,7384,/p/7384/עומר-סרף
658,ניר דוד,הפועל ירושלים,659,S50,430.9,276,/p/276/ניר-דוד
659,גיא חיים אדלשטיין,טניס שולחן חיפה,660,S50,430.7,7477,/p/7477/גיא-חיים-אדלשטיין
660,לב בריינר,הפועל לוד,661,S50,429.9,2994,/p/2994/לב-בריינר
661,אלמגור אשכנזי,הפועל גליל תחתון,662,C15,428.1,5867,/p/5867/אלמגור-אשכנזי
662,נועם אוסניס,הפועל לוד,663,S,428.0,3740,/p/3740/נועם-אוסניס
663,דוד קרסנטי,הפועל טנ''ש באר שבע,664,J18,427.8,6834,/p/6834/דוד-קרסנטי
664,חנוך מרקשייד,מכבי זאב זכרון יעקב,665,S60,427.1,994,/p/994/חנוך-מרקשייד
665,אלי פרידמן,מכבי כוכב יאיר - צור יגאל,666,S50,426.6,6761,/p/6761/אלי-פרידמן
666,גילעד סקופ,טנ''ש 2007 נתניה,667,S,425.6,2442,/p/2442/גילעד-סקופ
667,שחר כרמלי,הפועל חולון,668,S,425.5,3934,/p/3934/שחר-כרמלי
668,מיכאל עזאר,הפועל לוד,669,S40,424.8,5495,/p/5495/מיכאל-עזאר
669,מאור ניחנביץ,כרמל מרכזי טניס שולחן חיפה,670,M12,424.7,5782,/p/5782/מאור-ניחנביץ
670,איליה ספיבק,הפועל אילת,671,S,422.3,7605,/p/7605/איליה-ספיבק
671,אנדרי לפיצקי,הפועל עירוני נוף הגליל,672,S40,421.7,1528,/p/1528/אנדרי-לפיצקי
672,שי דוקטורי,מכבי רחובות,673,S,420.3,1290,/p/1290/שי-דוקטורי
673,אנטולי יפנוב,הפועל עירוני נוף הגליל,674,S60,419.8,1525,/p/1525/אנטולי-יפנוב
674,שחר אפטשיין,מ. בני הרצליה,675,S40,419.8,7571,/p/7571/שחר-אפטשיין
675,גנאדי קרקיס,הפועל טנ''ש באר שבע,676,S60,418.5,2700,/p/2700/גנאדי-קרקיס
676,אברהם דקל,מכבי ראשל''צ טנ''ש,677,S60,418.3,1956,/p/1956/אברהם-דקל
677,נטע בן דוד,הפועל רמת ישי,678,J16,418.3,6037,/p/6037/נטע-בן-דוד
678,יורם מוזס,הפועל תל אביב,679,S60,417.9,4700,/p/4700/יורם-מוזס
679,יונתן לקס,עמותת קריית מוצקין,680,S,415.7,7048,/p/7048/יונתן-לקס
680,דימיטרי שמושקין,הפועל לוד,681,S,414.5,1429,/p/1429/דימיטרי-שמושקין
681,זיגלמן יבגני,כרמל מרכזי טניס שולחן חיפה,682,S40,414.5,7132,/p/7132/זיגלמן-יבגני
682,גל כץ זמיר,מכבי זאב זכרון יעקב,683,C14,414.1,7175,/p/7175/גל-כץ-זמיר
683,יצחק אשכנזי,מכבי שהם,684,S50,414.1,2763,/p/2763/יצחק-אשכנזי
684,גנאדי גורליק,מכבי גבירול באר שבע,685,S40,414.0,2703,/p/2703/גנאדי-גורליק
685,הדר בהט,טניס שולחן חיפה,686,S,413.7,6751,/p/6751/הדר-בהט
686,ירון כהן,אופק קריית אונו,687,S50,413.7,5451,/p/5451/ירון-כהן
687,יורי מושקוביץ,מ. בני הרצליה,688,S50,412.5,7517,/p/7517/יורי-מושקוביץ
688,חיים זינגר,מכבי כוכב יאיר - צור יגאל,689,S60,412.2,6721,/p/6721/חיים-זינגר
689,אלנתן גד,בית''ר ראשון לציון,690,S50,411.1,518,/p/518/אלנתן-גד
690,אילן אנגל,טנ''ש נס ציונה,691,S40,409.2,6202,/p/6202/אילן-אנגל
691,בוריס סקליארביץ,מכבי גבירול באר שבע,692,S70,408.7,1700,/p/1700/בוריס-סקליארביץ
692,טל רזומוב,אופק קריית אונו,693,S,408.7,6224,/p/6224/טל-רזומוב
693,שלומי שוורץ,מכבי גבירול באר שבע,694,S40,407.8,2716,/p/2716/שלומי-שוורץ
694,לירון דור,טנ''ש 2007 נתניה,695,S40,407.4,2405,/p/2405/לירון-דור
695,איתי שלומוב,מ.ק.מתנ''ס קריית גת,696,J18,407.3,3091,/p/3091/איתי-שלומוב
696,אולג סידורנוקו,הפועל אשקלון,697,S50,405.6,2131,/p/2131/אולג-סידורנוקו
697,אלכסנדר דינרשטיין,מ. בני הרצליה,698,S40,405.0,6571,/p/6571/אלכסנדר-דינרשטיין
698,אורי הלמן,מ. בני הרצליה,699,S40,404.9,8040,/p/8040/אורי-הלמן
699,רותם צבי בניאס,מועדון טניס שולחן עפולה,700,S40,404.1,7475,/p/7475/רותם-צבי-בניאס
700,ודים גוטין,ללא מועדון,701,S40,403.3,6705,/p/6705/ודים-גוטין
701,אנטולי פלדמן,הפועל בת ים,702,S60,402.9,1425,/p/1425/אנטולי-פלדמן
702,יבגני כצמן,אופק קריית אונו,703,S50,402.5,6824,/p/6824/יבגני-כצמן
703,דניס קוגן,הפועל אשדוד,704,S40,402.5,3044,/p/3044/דניס-קוגן
704,יוחאי עצמון,עירוני טנ''ש ראש העין,705,S50,402.2,7312,/p/7312/יוחאי-עצמון
705,אורי אגמון,מכבי תל אביב,706,S,402.0,220,/p/220/אורי-אגמון
706,רוני אנג'ל,הפועל ירושלים,707,S70,400.7,3375,/p/3375/רוני-אנג-ל
707,שלומי שיינמן,מ. בני הרצליה,708,S40,399.9,1679,/p/1679/שלומי-שיינמן
708,נועם זינגר,עירוני גבעתיים,709,S,396.8,5542,/p/5542/נועם-זינגר
709,יצחק מטטוב,מכבי דימונה,710,S50,396.5,3689,/p/3689/יצחק-מטטוב
710,גיל נוימרק,טנ''ש נס ציונה,711,J18,396.3,6794,/p/6794/גיל-נוימרק
711,סרגיי גליטיוק,מכבי גבירול באר שבע,712,S60,396.2,1706,/p/1706/סרגיי-גליטיוק
712,חיים אוחנה,הפועל עירוני צפת,713,S50,396.0,1983,/p/1983/חיים-אוחנה
713,אסף פרינטי,מכבי רחובות,714,S,394.7,3093,/p/3093/אסף-פרינטי
714,אוהד קורן,אופק קריית אונו,715,S40,394.4,7139,/p/7139/אוהד-קורן
715,גל ניב,ללא מועדון,716,M13,394.3,5225,/p/5225/גל-ניב
716,שי בלזר,בית''ר באר שבע,717,S50,393.0,4309,/p/4309/שי-בלזר
717,איגור דורפמן,הפועל יוקנעם,718,S50,392.2,6952,/p/6952/איגור-דורפמן
718,אילן אלטמן,אליצור קריית אתא,719,M13,391.9,3879,/p/3879/אילן-אלטמן
719,רומן סטסבסקי,מכבי דימונה,720,S60,391.7,3687,/p/3687/רומן-סטסבסקי
720,משה יעקובוביץ,אליצור קריית אתא,721,S70,391.7,1638,/p/1638/משה-יעקובוביץ
721,מתי מרזוק,ללא מועדון,722,S40,391.0,1474,/p/1474/מתי-מרזוק
722,וולדיסלב קרבשב,"מ. טנ""ש ויקטור נתניה",723,S50,390.1,2870,/p/2870/וולדיסלב-קרבשב
723,איליה חריטונוב,ללא מועדון,724,S50,389.9,5974,/p/5974/איליה-חריטונוב
724,מיכאל ניסנבאום,מכבי עירוני שדרות,725,S50,389.8,1747,/p/1747/מיכאל-ניסנבאום
725,יובל רוזנברג,טניס שולחן חיפה,726,C14,388.8,4453,/p/4453/יובל-רוזנברג
726,לאון גולדשטיין,בית''ר חדרה,727,S60,388.7,1317,/p/1317/לאון-גולדשטיין
727,ערן אמיתי,אופק קריית אונו,728,S40,386.1,6831,/p/6831/ערן-אמיתי
728,מאיר יצחק,כרמל מרכזי טניס שולחן חיפה,729,S40,384.7,2171,/p/2171/מאיר-יצחק
729,יעקב עוזיאל,טנ''ש נס ציונה,730,S60,382.6,1800,/p/1800/יעקב-עוזיאל
730,יעקב טורבן,כרמל מרכזי טניס שולחן חיפה,731,S60,381.8,2411,/p/2411/יעקב-טורבן
731,שמואל ויסמן,הפועל ירושלים,732,S60,381.5,270,/p/270/שמואל-ויסמן
732,ליאוניד צ'רניאק,ללא מועדון,733,S60,381.1,5726,/p/5726/ליאוניד-צ-רניאק
733,גרגורי מרקוביץ',מועדון ספורט מעלה אדומים,734,S60,380.1,3407,/p/3407/גרגורי-מרקוביץ
734,יניב קטריבס,בית''ר רמלה,735,S40,379.5,2726,/p/2726/יניב-קטריבס
735,אושרי מתיתיהו,מ. בני הרצליה,736,C15,377.2,7523,/p/7523/אושרי-מתיתיהו
736,רתם יגיל,עירוני גבעתיים,737,C14,376.9,6941,/p/6941/רתם-יגיל
737,בוריס שיפרין,הפועל יוקנעם,738,S70,375.8,5868,/p/5868/בוריס-שיפרין
738,זאב כהן,הפועל לוד,739,S60,375.3,4841,/p/4841/זאב-כהן
739,יורי מירושניק,אופק קריית אונו,740,S50,374.3,4037,/p/4037/יורי-מירושניק
740,איתן קירש,הפועל ירושלים,741,S50,373.8,3755,/p/3755/איתן-קירש
741,רמי אנגלר,הפועל לוד,742,S40,373.6,4688,/p/4688/רמי-אנגלר
742,יעקב בורשטיין,הפועל ירושלים,743,S60,370.8,3392,/p/3392/יעקב-בורשטיין
743,עילי סימון,ללא מועדון,744,J18,369.9,2145,/p/2145/עילי-סימון
744,ויקטור מרקין,בית''ר ראשון לציון,745,S50,369.9,4546,/p/4546/ויקטור-מרקין
745,יגאל לגזיאל,בית''ר אשדוד,746,S50,368.7,456,/p/456/יגאל-לגזיאל
746,לוי אבי,הפועל ירושלים,747,S60,368.6,3568,/p/3568/לוי-אבי
747,אילן שוורץ,מכבי גבירול באר שבע,748,S40,368.3,2717,/p/2717/אילן-שוורץ
748,יובל ירוסלמסקי,בית''ר ראשון לציון,749,E21,367.3,4145,/p/4145/יובל-ירוסלמסקי
749,חנוך פורת,טנ''ש 2007 נתניה,750,S50,366.4,7570,/p/7570/חנוך-פורת
750,יובל לפינר,עירוני גבעתיים,751,S50,365.2,7684,/p/7684/יובל-לפינר
751,נתן פז,מכבי זאב זכרון יעקב,752,S70,364.9,1027,/p/1027/נתן-פז
